Date,Open,High,Low,Close,Volume
6/4/2017,2545.43,2559.79,2478.18,2524.06,0
6/5/2017,2524.06,2705.38,2523.92,2704.96,0
6/6/2017,2704.96,2931.24,2699.68,2870.5,0
6/7/2017,2870.5,2880.95,2626.56,2691.51,0
6/8/2017,2691.51,2808.41,2623.61,2798.78,0
6/9/2017,2798.78,2852.07,2786.07,2811.43,0
6/10/2017,2811.43,2914.19,2807.36,2900.25,0
6/11/2017,2900.25,2977.86,2867.25,2973.45,0
6/12/2017,2973.45,2985.06,2483.63,2656.77,0
6/13/2017,2656.77,2784.77,2647.44,2712.99,0
6/14/2017,2712.99,2803.72,2348.99,2467.27,0
6/15/2017,2467.27,2521.6,2125.56,2442.46,0
6/16/2017,2442.46,2536.42,2335.28,2508.58,0
6/17/2017,2508.58,2690.71,2454.81,2655.1,0
6/18/2017,2655.1,2676.04,2488.59,2539.56,0
6/19/2017,2539.56,2617.75,2518.78,2616.82,0
6/20/2017,2616.82,2800.48,2613.98,2754.38,0
6/21/2017,2754.38,2804.41,2624.35,2677.62,0
6/22/2017,2677.62,2757.32,2623.17,2722.84,0
6/23/2017,2722.84,2759.66,2699.48,2710.37,0
6/24/2017,2710.37,2741.56,2540.35,2590.05,0
6/25/2017,2590.05,2660.66,2472.37,2541.62,0
6/26/2017,2541.62,2584.75,2327.26,2446.05,0
6/27/2017,2446.05,2585.06,2309.63,2583.75,0
6/28/2017,2583.75,2616.95,2490.11,2577.74,0
6/29/2017,2577.74,2605.86,2526.51,2558.37,0
6/30/2017,2558.37,2576.28,2469.54,2480.61,0
7/1/2017,2480.61,2529.62,2387.47,2424.61,0
7/2/2017,2424.61,2555.34,2375.86,2536.46,0
7/3/2017,2536.46,2617.48,2506.3,2572.47,0
7/4/2017,2572.47,2658.73,2569.99,2617.32,0
7/5/2017,2617.32,2642.74,2562.04,2627.86,0
7/6/2017,2627.86,2634.84,2581.8,2614.24,0
7/7/2017,2614.24,2617.48,2484.73,2513.88,0
7/8/2017,2513.88,2568.73,2480.62,2564.86,0
7/9/2017,2564.86,2576.73,2509.65,2511.43,0
7/10/2017,2511.43,2530.34,2271.79,2344.02,0
7/11/2017,2344.02,2412.75,2265.48,2324.29,0
7/12/2017,2324.29,2424.82,2262.08,2403.09,0
7/13/2017,2403.09,2436.66,2334.96,2362.44,0
7/14/2017,2362.44,2370.53,2165.36,2234.17,0
7/15/2017,2234.17,2237.13,1974.03,1975.08,0
7/16/2017,1975.08,2044.41,1808.99,1914.09,0
7/17/2017,1914.09,2233.83,1913.79,2233.39,0
7/18/2017,2233.39,2400.74,2164.59,2320.23,0
7/19/2017,2320.23,2412.38,2243.13,2282.58,0
7/20/2017,2282.58,2932.81,2282.11,2866.02,0
7/21/2017,2866.02,2873.96,2622.54,2675.08,0
7/22/2017,2675.08,2876.71,2658.59,2836.53,0
7/23/2017,2836.53,2856.67,2675.65,2756.61,0
7/24/2017,2756.61,2798.89,2715.69,2763.42,0
7/25/2017,2763.42,2779.08,2472.62,2582.58,0
7/26/2017,2582.58,2631.73,2441.54,2559.21,0
7/27/2017,2559.21,2712.92,2547.74,2691.88,0
7/28/2017,2691.88,2843.78,2683.59,2806.75,0
7/29/2017,2806.75,2812.13,2699.42,2733.5,0
7/30/2017,2733.5,2773.06,2621.68,2766.49,0
7/31/2017,2766.49,2916.3,2723.05,2883.27,0
8/1/2017,2883.27,2946.02,2659.62,2746.99,0
8/2/2017,2746.99,2773.8,2668.87,2720.53,0
8/3/2017,2720.53,2822.88,2717.62,2809.99,0
8/4/2017,2809.99,2892.67,2779.51,2878.49,0
8/5/2017,2878.49,3344.01,2875.91,3262.8,0
8/6/2017,3262.8,3295.07,3166.52,3232.03,0
8/7/2017,3232.03,3425.13,3198.51,3401.91,0
8/8/2017,3401.91,3494.87,3357.15,3429.38,0
8/9/2017,3429.38,3437.15,3251.03,3348.79,0
8/10/2017,3348.79,3453.84,3322.92,3425.67,0
8/11/2017,3425.67,3706.48,3409.79,3654.37,0
8/12/2017,3654.37,3967.26,3611.36,3871.62,0
8/13/2017,3871.62,4189.42,3847.31,4062.6,0
8/14/2017,4062.6,4336.71,3978.95,4327.94,0
8/15/2017,4327.94,4436.48,3837.13,4161.66,0
8/16/2017,4161.66,4398.06,3938.62,4387.4,0
8/17/2017,4387.4,4487.5,4194.1,4278.92,0
8/18/2017,4278.92,4362.73,3978.28,4105.37,0
8/19/2017,4105.37,4189.68,3957.46,4150.45,0
8/20/2017,4150.45,4182.29,4034.4,4066.6,0
8/21/2017,4066.6,4097.25,3966.93,4005.1,0
8/22/2017,4005.1,4142.68,3612.21,4089.7,0
8/23/2017,4089.7,4255.62,4070.49,4141.09,0
8/24/2017,4141.09,4364.11,4111.71,4318.35,0
8/25/2017,4318.35,4461.71,4292.63,4364.41,0
8/26/2017,4364.41,4379.28,4263.28,4352.3,0
8/27/2017,4352.3,4408.18,4321.12,4345.75,0
8/28/2017,4345.75,4403.13,4195.23,4390.31,0
8/29/2017,4390.31,4647.83,4350.22,4597.31,0
8/30/2017,4597.31,4644.06,4491.79,4583.02,0
8/31/2017,4583.02,4765.07,4580.13,4735.11,0
9/1/2017,4735.11,4925.23,4690.17,4921.85,0
9/2/2017,4921.85,4976.52,4448.64,4573.8,0
9/3/2017,4573.8,4719.78,4397.74,4612.92,0
9/4/2017,4612.92,4621.01,4098.58,4267.45,0
9/5/2017,4267.45,4496.67,4004.62,4409.08,0
9/6/2017,4409.08,4660.04,4401.53,4618.71,0
9/7/2017,4618.71,4690.55,4493.2,4635.6,0
9/8/2017,4635.6,4699.59,4130.88,4326.45,0
9/9/2017,4326.45,4402.15,4185.33,4335.13,0
9/10/2017,4335.13,4338.08,4032.15,4245.89,0
9/11/2017,4245.89,4364.42,4134.62,4217.9,0
9/12/2017,4217.9,4387.76,4074.97,4158.92,0
9/13/2017,4158.92,4174.58,3752.01,3870.29,0
9/14/2017,3870.29,3930.69,3218.98,3243.08,0
9/15/2017,3243.08,3824.43,2979.88,3713.76,0
9/16/2017,3713.76,3893.67,3551.83,3698.92,0
9/17/2017,3698.92,3796.56,3485.83,3689.61,0
9/18/2017,3689.61,4122.75,3689,4100.28,0
9/19/2017,4100.28,4120.71,3852.22,3907.96,0
9/20/2017,3907.96,4053.04,3846.76,3882.16,0
9/21/2017,3882.16,3912.79,3576.54,3617.27,0
9/22/2017,3617.27,3753.51,3505.81,3600.83,0
9/23/2017,3600.83,3813.39,3563.18,3788.02,0
9/24/2017,3788.02,3790.89,3633.88,3667.52,0
9/25/2017,3667.52,3971.5,3665.67,3932.83,0
9/26/2017,3932.83,3982.31,3858.75,3892.7,0
9/27/2017,3892.7,4232.35,3882.08,4212.2,0
9/28/2017,4212.2,4274.64,4112.88,4195.65,0
9/29/2017,4195.65,4237.51,4030.37,4172.79,0
9/30/2017,4172.79,4383.27,4164.25,4360.62,0
10/1/2017,4360.62,4412.62,4258.32,4403.09,0
10/2/2017,4403.09,4477.38,4364.67,4401.32,0
10/3/2017,4401.32,4435.99,4230.73,4314.18,0
10/4/2017,4314.18,4355.29,4183.57,4218.66,0
10/5/2017,4218.66,4365.76,4143.35,4321.44,0
10/6/2017,4321.44,4422.15,4296.93,4371.94,0
10/7/2017,4371.94,4472.92,4319.48,4435.81,0
10/8/2017,4435.81,4622.87,4419.36,4611.7,0
10/9/2017,4611.7,4875.38,4556.15,4777.49,0
10/10/2017,4777.49,4930,4722.81,4763.36,0
10/11/2017,4763.36,4874.89,4718.6,4824.2,0
10/12/2017,4824.2,5432.63,4814.98,5432.62,0
10/13/2017,5432.62,5852.78,5391.97,5637.26,0
10/14/2017,5637.26,5839.62,5568.86,5824.71,0
10/15/2017,5824.71,5862.69,5448.22,5688.14,0
10/16/2017,5677.35,5795.33,5576.1,5759.33,0
10/17/2017,5759.25,5773.32,5521.09,5598.58,0
10/18/2017,5598.58,5601.3,5114.87,5575.83,0
10/19/2017,5576.71,5737.41,5517.62,5698.65,0
10/20/2017,5698.62,6075.32,5611.39,5993.11,0
10/21/2017,5993.11,6187.2,5874.54,6006.65,0
10/22/2017,6006.65,6070.56,5722.98,5982.86,0
10/23/2017,5982.86,6048.98,5644.22,5903.61,0
10/24/2017,5903.61,5904.63,5463.41,5513.08,0
10/25/2017,5513.08,5747.96,5375.64,5734,0
10/26/2017,5734,5970.4,5689.92,5887.61,0
10/27/2017,5887.62,5997.83,5692.32,5764.56,0
10/28/2017,5764.56,5871.04,5654.8,5726.61,0
10/29/2017,5726.61,6295.43,5679.37,6147.52,0
10/30/2017,6147.7,6226.18,6018.97,6124.28,0
10/31/2017,6124.28,6467.2,6090.83,6451.24,0
11/1/2017,6449.1,6738.74,6355,6737.78,0
11/2/2017,6737.78,7339.91,6737.77,7024.81,0
11/3/2017,7024.81,7445.62,6938.93,7152.12,0
11/4/2017,7146.98,7492.24,6957.84,7363.8,0
11/5/2017,7363.8,7599.44,7284.33,7389.55,0
11/6/2017,7389.55,7429.7,6934.73,6959.23,0
11/7/2017,6959.27,7222.37,6957.8,7102.75,0
11/8/2017,7102.23,7869.1,7026.97,7444.36,0
11/9/2017,7444.36,7457.12,7040.83,7129.59,0
11/10/2017,7129.59,7318.97,6406.05,6565.8,0
11/11/2017,6565.8,6821.5,6197.87,6339.86,0
11/12/2017,6339.87,6490.53,5493.64,5878.13,0
11/13/2017,5878.09,6760.15,5828.34,6522.45,0
11/14/2017,6522.45,6728.59,6419.18,6597.06,0
11/15/2017,6597.06,7330.06,6596.94,7283.22,0
11/16/2017,7283.02,7964.64,7119.17,7853.68,0
11/17/2017,7853.68,8000.19,7534.7,7699.95,0
11/18/2017,7699.95,7857.52,7458.9,7780.91,0
11/19/2017,7781.02,8100.87,7675.41,8042.64,0
11/20/2017,8042.64,8294.12,7947.28,8244.69,0
11/21/2017,8245.87,8368.36,7819.06,8099.97,0
11/22/2017,8099.92,8304.37,8091.63,8234.55,0
11/23/2017,8234.5,8266.55,8012.35,8013.41,0
11/24/2017,8013.38,8332.94,7900.17,8200.8,0
11/25/2017,8203.45,8761.98,8153.7,8754.69,0
11/26/2017,8754.62,9474.62,8746.56,9318.42,0
11/27/2017,9318.42,9733.61,9316.84,9733.2,0
11/28/2017,9732.63,9969.58,9638.2,9906.04,0
11/29/2017,9906.04,11417.84,8938.7,9837.86,0
11/30/2017,9848.05,10689.06,9023.77,9946.76,0
12/1/2017,9947.08,10942.8,9420.93,10861.47,0
12/2/2017,10861.47,11175.23,10715.55,10912.73,0
12/3/2017,10912.72,11851.09,10578.43,11246.21,0
12/4/2017,11244.2,11624.63,10917.81,11623.91,0
12/5/2017,11624.37,11901.87,11486.13,11667.13,0
12/6/2017,11667.13,13843.2,11661.76,13749.57,0
12/7/2017,13750.09,16879.26,13401.61,16850.31,0
12/8/2017,16867.98,17294.85,13906.1,16047.61,0
12/9/2017,16048.18,16313.18,13151.47,14843.42,0
12/10/2017,14839.98,15783.2,13031,15059.6,0
12/11/2017,15060.45,17399.18,15024.56,16732.47,0
12/12/2017,16733.29,17560.65,16254.53,17083.9,0
12/13/2017,17083.9,17267.96,15669.86,16286.82,0
12/14/2017,16286.82,16941.08,16023.64,16467.91,0
12/15/2017,16467.91,17987.03,16442.2,17604.85,0
12/16/2017,17594.08,19587.7,17318.54,19345.49,0
12/17/2017,19346.6,19870.62,18750.91,19065.71,0
12/18/2017,19065.71,19221.1,18114.42,18972.32,0
12/19/2017,18971.19,19021.97,16812.8,17523.7,0
12/20/2017,17521.73,17813.6,15642.69,16461.97,0
12/21/2017,16461.09,17301.83,14952.98,15632.12,0
12/22/2017,15632.12,15823.72,10875.71,13664.97,0
12/23/2017,13664.97,15493.23,13356.07,14396.46,0
12/24/2017,14396.63,14413.72,12166.45,13789.95,0
12/25/2017,13789.95,14467.43,13010.71,13833.49,0
12/26/2017,13830.19,16094.67,13748.49,15756.56,0
12/27/2017,15757.02,16514.59,14534.66,15416.64,0
12/28/2017,15416.34,15505.51,13466.07,14398.7,0
12/29/2017,14398.45,15109.81,13951.08,14392.57,0
12/30/2017,14392.14,14461.46,11962.09,12531.52,0
12/31/2017,12532.38,14241.82,12359.43,13850.4,0
1/1/2018,13850.49,13921.53,12877.67,13444.88,0
1/2/2018,13444.88,15306.13,12934.16,14754.13,0
1/3/2018,14754.09,15435.01,14579.71,15156.62,0
1/4/2018,15156.49,15408.66,14244.67,15180.08,0
1/5/2018,15180.08,17126.95,14832.36,16954.78,0
1/6/2018,16954.76,17252.85,16286.57,17172.3,0
1/7/2018,17174.5,17184.81,15791.13,16228.16,0
1/8/2018,16228.26,16302.92,13902.31,14976.17,0
1/9/2018,14976.17,15390.28,14221.55,14468.5,0
1/10/2018,14468.09,14919.49,13450.54,14919.49,0
1/11/2018,14920.36,14979.96,12825.95,13308.06,0
1/12/2018,13308.06,14129.08,12851.91,13841.19,0
1/13/2018,13841.19,14595.04,13830.28,14243.12,0
1/14/2018,14244.12,14415.67,13031.91,13638.63,0
1/15/2018,13638.63,14355.82,13416.71,13631.98,0
1/16/2018,13634.6,13648.84,10032.69,11282.49,0
1/17/2018,11282.49,11736.3,9205.38,11162.7,0
1/18/2018,11162.7,12018.43,10642.33,11175.52,0
1/19/2018,11175.52,11780.49,10867.18,11521.76,0
1/20/2018,11521.82,13031.04,11502.11,12783.94,0
1/21/2018,12783.54,12787.35,11101.73,11549.93,0
1/22/2018,11549.98,11913.74,10067.76,10814.52,0
1/23/2018,10814.52,11388.52,9980.5,10858.23,0
1/24/2018,10853.78,11531.6,10506.55,11429.02,0
1/25/2018,11428.11,11741.92,10942.48,11202.69,0
1/26/2018,11203.09,11652.27,10348.85,10814.57,0
1/27/2018,10812.48,11635.44,10810.74,11504.84,0
1/28/2018,11506.3,12060.75,11370.16,11800.88,0
1/29/2018,11801.53,11859.22,11092.4,11130.21,0
1/30/2018,11131.85,11282.71,9875.93,10242.7,0
1/31/2018,10241.28,10373.95,9702.56,10141.6,0
2/1/2018,10139.25,10279.82,8727.41,9052.98,0
2/2/2018,9045.87,9221.4,7791.78,8801.43,0
2/3/2018,8799.94,9500.81,8197.71,9133.51,0
2/4/2018,9127.35,9398.27,7906.13,8433.93,0
2/5/2018,8438.75,8449.31,6630.24,6842.69,0
2/6/2018,6836.63,7926.24,5969.52,7644.83,0
2/7/2018,7646.42,8572.68,7209.41,7863.87,0
2/8/2018,7863.87,8642.25,7555.8,8253.94,0
